id,name,category,unit,default_quantity,calories,protein,carbs,fats,fiber,sugar,sodium,usage_count,has_complete_data,missing_data
26b034ba-c6fd-43d4-9d0e-2a5f6017a182,peeled,other,g,100.0,483.0,22.932501053756386,30.488260275394612,29.920679755020824,0,0,0,7,True,none
254a1571-519b-4239-a940-559823342d17,halved,other,g,100.0,281.2,13.371631935816442,39.35277341048216,7.8111836852153855,0,0,0,2,True,none
5a3b36eb-1c11-49a9-8ed1-730e1420f20d,halved lengthwise,other,g,100.0,329.7,6.51993944807407,21.404540813347023,24.218209676043582,0,0,0,2,True,none
dbb8ab00-766d-4fff-bfc2-0a0cb2958a55,seeded,other,g,100.0,248.8,10.363984743154411,39.83550172993795,5.338719278783835,0,0,0,2,True,none
0240de76-ef86-459a-87db-90053cc11abf,beaten,other,g,100.0,375.8,14.409577922250868,40.261482896008765,17.459398996465367,0,0,0,1,True,none
02fa0662-8e2e-4f6a-8236-bfbdabaeeff0,"1 Pâte Sucrée disk
All-purpose flour (for dusting)
1 1/2 cups chopped pecans plus
1 1/2-2 cups pecan halves
1/4 cup (1/2 stick) unsalted butter
1/2 vanilla bean",other,g,100.0,717.0,0.9,0.1,81.0,0,0,0,1,True,none
04a9b5b2-388a-4a27-afdd-4d2ead743c88,"torn into bite-size pieces
3 medium-size firm but ripe Fuyu persimmons",other,g,100.0,204.78043681121196,16.10736646341452,21.470259475950506,5.942795792047437,0,0,0,1,True,none
075bec19-8017-4ab1-86f9-a2a6ea7a779f,"3 1/2 cups whole milk
3/4 cup yellow cornmeal
1/2 teaspoon minced fresh rosemary
1 cup grated mozzarella cheese
1/2 cup grated Parmesan cheese",other,g,100.0,42.0,3.4,5.0,1.0,0,0,0,1,True,none
07c578bd-b27c-403d-801f-a12ed1bd3dac,"1 1/2 cups chopped cilantro
2 tablespoons vegetable oil
1 tablespoon chopped canned chipotles in adobo
1 tablespoon water
1/2 teaspoon ground cumin
4 (6-ounces) tilapia fillets",other,g,100.0,128.0,26.0,0,2.7,0,0,0,1,True,none
0a9670cb-f866-4cf1-80cf-cb0323627ab8,"drained
4 green onions",other,g,100.0,40.0,1.1,9.0,0.1,0,0,0,1,True,none
0aedaf90-5be2-45c5-8eaf-301f039d98a7,"stemmed
1/2 cup lightly packed cilantro",other,g,100.0,380.5,1.5371547930454437,30.01874063139592,28.256421377454398,0,0,0,1,True,none
0b578527-b6f6-499f-95ee-a6f6a15267d4,/4 pounds red-skinned sweet potatoes (yams),other,g,100.0,77.0,2.0,17.0,0.1,0,0,0,1,True,none
0e5c206f-fe39-466b-90ee-58b7fb220536,"6 ounces feta
1/2 cup finely chopped fresh flat-leaf parsley
1/4 cup finely chopped fresh mint
2 tablespoons finely chopped fresh dill",other,g,100.0,264.0,14.0,4.0,21.0,0,0,0,1,True,none
0f91392b-e06b-49bf-aac8-e0ab3b536ae8,"bulb thinly sliced
8 garlic cloves",other,g,100.0,313.0,4.570295017943662,10.885104454766461,27.903571010369916,0,0,0,1,True,none
0f9b1682-aa1d-4355-b176-b76e6f82e3b2,"diced
1 3.75-ounce jar marinated mushrooms",other,g,100.0,28.3,3.1,3.3,0.3,0,0,0,1,True,none
0ff495fa-8280-4086-bf23-a0d4ceb440f6,"cut into 1/2-inch pieces
2 tablespoons (about) cold water
3 large eggs
1/2 cup plus 1 tablespoon sugar
1/3 cup whipping cream
1/3 cup fresh lemon juice
1 tablespoon grated lemon peel
Pinch of salt",other,g,100.0,155.0,13.0,1.1,11.0,0,0,0,1,True,none
116f0b66-293e-49e6-8d5d-9a8574f29fd1,"thinly sliced
1 teaspoon minced garlic
4 tablespoons chopped roasted peanuts
10 la lot",other,g,100.0,162.1,6.4,33.0,0.5,0,0,0,1,True,none
1b20cbee-b570-48aa-b503-1dac1d3d68fd,"1 tablespoon white-wine vinegar
3 tablespoons olive oil
1/2 pound green beans",other,g,100.0,884.0,0,0,100.0,0,0,0,1,True,none
1cc2f046-fc8b-4adf-9e94-dc1f63ca8a1c,drained,other,g,100.0,420.0,18.91666765003415,32.99134195786576,23.59724375287638,0,0,0,1,True,none
1e5a1cec-dafa-4459-a575-f79b74c099f0,"2 tablespoons Sherry wine vinegar
1 tablespoon minced shallot
1 1/2 teaspoons Dijon mustard
1/3 cup olive oil
1 large head of butter lettuce or Boston lettuce",other,g,100.0,717.0,0.9,0.1,81.0,0,0,0,1,True,none
1f23e05a-84a0-4be3-9304-8795de56dcb1,"4 cups buttermilk
2 large Vidalia onions (about 2 pounds)",other,g,100.0,42.0,3.4,5.0,1.0,0,0,0,1,True,none
1f7b67a6-6704-4c8c-83c7-16a5dc49feca,"and butterflied by butcher (each 4 to 4 3/4 pounds boneless)
1 cup fresh lemon juice
12 garlic cloves",other,g,100.0,717.0,0.9,0.1,81.0,0,0,0,1,True,none
1ffa6627-36c0-4be8-a044-46de8a126f7a,"cut into 1/4-inch pieces (about 3 cups)
1/2 cup finely chopped green bell pepper
1/2 cup finely chopped red onion
1/4 cup chopped fresh mint
2 teaspoons grated lemon peel",other,g,100.0,325.7,10.0,64.0,3.3,0,0,0,1,True,none
21be03ba-7862-4e0b-a045-a0b7572f200e,"coarsely chopped
1/4 cup fresh mint leaves
1/2 cup well-shaken chilled buttermilk
1 1/2 cups cold water",other,g,100.0,42.0,3.4,5.0,1.0,0,0,0,1,True,none
222a0780-8914-43b8-bf13-35a22ee3d491,"1/4 cup olive oil
1/4 cup red wine vinegar
1 tablespoon chopped fresh rosemary or 1 1/2 teaspoons dried
1 large garlic clove",other,g,100.0,195.5,4.5662431355884,16.340949982085583,12.43135506257414,0,0,0,1,True,none
26229604-98d0-4823-a5d8-5866c0d491b7,"washed well and spun dry
4 garlic cloves
1/4 cup extra-virgin olive oil
fine sea salt to taste
freshly ground black pepper to taste",other,g,100.0,884.0,0,0,100.0,0,0,0,1,True,none
2881e7ea-5afa-44be-8f28-c922d9f7690f,"1 firm-ripe small mango
1/3 English cucumber
2 tablespoons finely chopped scallion
2 tablespoons fresh orange juice
1 teaspoon fresh lime juice
1/2 teaspoon extra-virgin olive oil",other,g,100.0,884.0,0,0,100.0,0,0,0,1,True,none
2aaf3469-cbb1-4301-8e09-2ef14bf33439,"plus torn sprigs for serving
Kosher salt and freshly ground black pepper
Olive oil",other,g,100.0,884.0,0,0,100.0,0,0,0,1,True,none
2b7507d3-4d8a-460d-8226-072726898e5b,"use small teardrop-shaped holes of a box grater)
1/8 teaspoon black pepper",other,g,100.0,325.7,10.0,64.0,3.3,0,0,0,1,True,none
2c8a3a10-6c5c-453f-aec8-252f95e85ef4,"1 chilled seedless cucumber (about 16 ounces)
1 (6- to 8-ounce) firm-ripe avocado
2 scallions",other,g,100.0,117.6,4.518020151212476,5.52324481412626,8.600748785903896,0,0,0,1,True,none
2eefdae0-c018-4fb6-8baa-74472673757e,toasted lightly,other,g,100.0,265.2402621821249,8.259240382374974,14.563388801523011,20.23788974869717,0,0,0,1,True,none
2f7864be-d126-49f1-978e-6e3d7614141e,"outer leaves removed and core finely chopped
1/2 red chile",other,g,100.0,454.0,16.015509687825322,38.69401306551787,26.127820517812896,0,0,0,1,True,none
31a7dd16-2e48-4500-8ed5-0c9900244121,"thawed
1/4 cup crème fraîche or sour cream
2 1/2 teaspoons ground cinnamon
1/2 teaspoon cornstarch
1/4 teaspoon ground ginger
1/4 teaspoon salt
Lightly sweetened whipped cream
Fine strips of orange peel (optional)",other,g,100.0,345.0,2.1,2.8,37.0,0,0,0,1,True,none
32d4d880-d2f5-4e1d-b34a-cece1372f3b2,"fresh cooked
1 1/2 cups diced ham
1 red bell pepper",other,g,100.0,197.2,15.068272221243932,14.967813943739111,8.562699680680602,0,0,0,1,True,none
34b88678-9886-4ddc-807a-936fb076d64c,"separated into rings
Vegetable oil (for deep frying)
3 cups all purpose flour
3 tablespoons ground cumin
3 tablespoon chili powder
1 tablespoon salt
1 tablespoon cayenne pepper",other,g,100.0,419.7,12.27171409300664,28.399692401586616,28.55874224962085,0,0,0,1,True,none
34fd6d24-a117-4e1f-b253-f89b4073ff62,"patted dry
2/3 cup chopped leek (white and pale green parts only)
1/2 cup freshly grated Parmesan cheese
1 large egg",other,g,100.0,113.0,7.0,1.0,9.0,0,0,0,1,True,none
3895df38-c6fc-40b5-8505-5a8e87b44579,"cut into 1/8-inch slices
2 shallots",other,g,100.0,202.9,3.6976191657387334,39.26822186815711,3.44328406807388,0,0,0,1,True,none
39a5e6dd-6be1-4351-9589-7a4384c4665b,"3 tablespoons butter
4 large leeks (white and pale green parts only)",other,g,100.0,717.0,0.9,0.1,81.0,0,0,0,1,True,none
3a329f83-1d53-4a60-90db-4d84cd6ee356,"trimmed and quartered
1 1/2 cups sugar
3 tablespoons balsamic vinegar
3 tablespoons water
1 teaspoon cracked black pepper",other,g,100.0,325.7,10.0,64.0,3.3,0,0,0,1,True,none
3a49ddc9-6a39-4049-93a1-81e9d92b2b88,"diced
1/4 cup coarsely chopped pitted oil-cured black olives
1/4 cup drained capers",other,g,100.0,884.0,0,0,100.0,0,0,0,1,True,none
